ds,trend,cap,floor,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_lower,yhat_upper,trend_lower,trend_upper,yhat,y
2020-02-17T00:00:00Z,147.45711683586435,160,120,0.12462424005348127,0.12462424005348127,0.12462424005348127,0.12462424005348127,0.12462424005348127,0.12462424005348127,0,0,0,146.0975343192033,149.06027320169642,147.45711683586435,147.45711683586435,147.58174107591785,151.9
2020-02-18T00:00:00Z,147.3274547770754,160,120,0.25282968892351915,0.25282968892351915,0.25282968892351915,0.25282968892351915,0.25282968892351915,0.25282968892351915,0,0,0,146.09104270320796,149.14888717258393,147.3274547770754,147.3274547770754,147.58028446599891,150.36
2020-02-19T00:00:00Z,147.19707734048524,160,120,0.11736399064530892,0.11736399064530892,0.11736399064530892,0.11736399064530892,0.11736399064530892,0.11736399064530892,0,0,0,145.86732416991813,148.71708123605774,147.19707734048524,147.19707734048524,147.31444133113055,149.69
2020-02-20T00:00:00Z,147.06599341280238,160,120,-0.06154736791230962,-0.06154736791230962,-0.06154736791230962,-0.06154736791230962,-0.06154736791230962,-0.06154736791230962,0,0,0,145.5582648376694,148.4563795481696,147.06599341280238,147.06599341280238,147.00444604489007,148.81
2020-02-21T00:00:00Z,146.93421213749454,160,120,0.05808334607738747,0.05808334607738747,0.05808334607738747,0.05808334607738747,0.05808334607738747,0.05808334607738747,0,0,0,145.42968202426366,148.42970350157057,146.93421213749454,146.93421213749454,146.99229548357192,147.49
2020-02-23T00:00:00Z,146.66859539478122,160,120,-0.3732738787986667,-0.3732738787986667,-0.3732738787986667,-0.3732738787986667,-0.3732738787986667,-0.3732738787986667,0,0,0,144.82564078515622,147.70974733815638,146.66859539478122,146.66859539478122,146.29532151598255,148.37
2020-02-24T00:00:00Z,146.53477948713765,160,120,0.12462424005378767,0.12462424005378767,0.12462424005378767,0.12462424005378767,0.12462424005378767,0.12462424005378767,0,0,0,145.22448259016997,148.24144811400487,146.53477948713765,146.53477948713765,146.65940372719143,148.59
2020-02-25T00:00:00Z,146.40030544121686,160,120,0.2528296889236759,0.2528296889236759,0.2528296889236759,0.2528296889236759,0.2528296889236759,0.2528296889236759,0,0,0,145.28203200584093,148.12684530526508,146.40030544121686,146.40030544121686,146.65313513014053,147.05
2020-02-26T00:00:00Z,146.26518357178313,160,120,0.11736399064535506,0.11736399064535506,0.11736399064535506,0.11736399064535506,0.11736399064535506,0.11736399064535506,0,0,0,144.9547388837906,147.759339366665,146.26518357178313,146.26518357178313,146.38254756242847,147.05
2020-02-27T00:00:00Z,146.12942453297094,160,120,-0.061547367912971655,-0.061547367912971655,-0.061547367912971655,-0.061547367912971655,-0.061547367912971655,-0.061547367912971655,0,0,0,144.64400265894028,147.53513271240703,146.12942453297094,146.12942453297094,146.06787716505798,146.17
2020-02-28T00:00:00Z,145.99303922399827,160,120,0.05808334607726496,0.05808334607726496,0.05808334607726496,0.05808334607726496,0.05808334607726496,0.05808334607726496,0,0,0,144.52356330926284,147.52799267098445,145.99303922399827,145.99303922399827,146.05112257007553,146.61
2020-03-01T00:00:00Z,145.7184346032117,160,120,-0.37327387879887175,-0.37327387879887175,-0.37327387879887175,-0.37327387879887175,-0.37327387879887175,-0.37327387879887175,0,0,0,143.90306536741494,146.7974496485607,145.7184346032117,145.7184346032117,145.34516072441284,146.61
2020-03-02T00:00:00Z,145.58023829262262,160,120,0.1246242400541545,0.1246242400541545,0.1246242400541545,0.1246242400541545,0.1246242400541545,0.1246242400541545,0,0,0,144.35446893335825,147.2072075254932,145.58023829262262,145.58023829262262,145.70486253267677,145.28
2020-03-03T00:00:00Z,145.44146251625153,160,120,0.2528296889235203,0.2528296889235203,0.2528296889235203,0.2528296889235203,0.2528296889235203,0.2528296889235203,0,0,0,144.21677962849168,147.14001716577272,145.44146251625153,145.44146251625153,145.69429220517506,145.06
2020-03-04T00:00:00Z,145.30211855767925,160,120,0.11736399064625914,0.11736399064625914,0.11736399064625914,0.11736399064625914,0.11736399064625914,0.11736399064625914,0,0,0,143.96015923743454,146.86775006701288,145.30211855767925,145.30211855767925,145.4194825483255,144.84
2020-03-05T00:00:00Z,145.16221872924282,160,120,-0.061547367912339175,-0.061547367912339175,-0.061547367912339175,-0.061547367912339175,-0.061547367912339175,-0.061547367912339175,0,0,0,143.56021641713863,146.58030323204756,145.16221872924282,145.16221872924282,145.10067136133048,144.4
2020-03-06T00:00:00Z,145.02177556756072,160,120,0.05808334607762906,0.05808334607762906,0.05808334607762906,0.05808334607762906,0.05808334607762906,0.05808334607762906,0,0,0,143.662628743877,146.62819382444673,145.02177556756072,145.02177556756072,145.07985891363836,144.62
2020-03-08T00:00:00Z,144.73931048987967,160,120,-0.37327387879857615,-0.37327387879857615,-0.37327387879857615,-0.37327387879857615,-0.37327387879857615,-0.37327387879857615,0,0,0,142.96934064989935,145.88301968888607,144.73931048987967,144.73931048987967,144.36603661108109,145.28
2020-03-09T00:00:00Z,144.59731473419646,160,120,0.12462424005257683,0.12462424005257683,0.12462424005257683,0.12462424005257683,0.12462424005257683,0.12462424005257683,0,0,0,143.21858358345776,146.13165496170558,144.59731473419646,144.59731473419646,144.72193897424904,143.74
2020-03-10T00:00:00Z,144.45482795744476,160,120,0.2528296889235208,0.2528296889235208,0.2528296889235208,0.2528296889235208,0.2528296889235208,0.2528296889235208,0,0,0,143.30227329423377,146.14398852258049,144.45482795744476,144.45482795744476,144.7076576463683,144.4
2020-03-11T00:00:00Z,144.31186375845425,160,120,0.1173639906459635,0.1173639906459635,0.1173639906459635,0.1173639906459635,0.1173639906459635,0.1173639906459635,0,0,0,143.0250743071804,145.8617500320454,144.31186375845425,144.31186375845425,144.42922774910022,143.52
2020-03-12T00:00:00Z,144.1684359352363,160,120,-0.06154736791262615,-0.06154736791262615,-0.06154736791262615,-0.06154736791262615,-0.06154736791262615,-0.06154736791262615,0,0,0,142.6682468558481,145.5290548740034,144.1684359352363,144.1684359352363,144.10688856732367,143.52
2020-03-13T00:00:00Z,144.0245584803286,160,120,0.058083346077019954,0.058083346077019954,0.058083346077019954,0.058083346077019954,0.058083346077019954,0.058083346077019954,0,0,0,142.5421334171778,145.45741186394986,144.0245584803286,144.0245584803286,144.08264182640562,143.52
2020-03-14T00:00:00Z,143.88024557584927,160,120,-0.11808001898976306,-0.11808001898976306,-0.11808001898976306,-0.11808001898976306,-0.11808001898976306,-0.11808001898976306,0,0,0,142.28600243685818,145.16769743729995,143.88024557584927,143.88024557584927,143.76216555685951,143.3
2020-03-15T00:00:00Z,143.73551158838495,160,120,-0.37327387879854557,-0.37327387879854557,-0.37327387879854557,-0.37327387879854557,-0.37327387879854557,-0.37327387879854557,0,0,0,141.81524191516766,144.83270502405355,143.73551158838495,143.73551158838495,143.3622377095864,142.2
2020-03-16T00:00:00Z,143.59039087422187,160,120,0.12462424005294369,0.12462424005294369,0.12462424005294369,0.12462424005294369,0.12462424005294369,0.12462424005294369,0,0,0,142.20987472210658,145.24980103809187,143.59039087422187,143.59039087422187,143.71501511427482,142.42
2020-03-17T00:00:00Z,143.44487844718475,160,120,0.25282968892336516,0.25282968892336516,0.25282968892336516,0.25282968892336516,0.25282968892336516,0.25282968892336516,0,0,0,142.23096134225585,145.2272386588605,143.44487844718475,143.44487844718475,143.6977081361081,143.74
2020-03-18T00:00:00Z,143.29898918887272,160,120,0.11736399064566784,0.11736399064566784,0.11736399064566784,0.11736399064566784,0.11736399064566784,0.11736399064566784,0,0,0,141.96957803137576,144.8892027031707,143.29898918887272,143.29898918887272,143.41635317951838,142.86
2020-03-19T00:00:00Z,143.15273814323604,160,120,-0.06154736791291313,-0.06154736791291313,-0.06154736791291313,-0.06154736791291313,-0.06154736791291313,-0.06154736791291313,0,0,0,141.6737488282854,144.4835594615476,143.15273814323604,143.15273814323604,143.09119077532313,141.98
2020-03-20T00:00:00Z,143.00614051069644,160,120,0.0580833460774487,0.0580833460774487,0.0580833460774487,0.0580833460774487,0.0580833460774487,0.0580833460774487,0,0,0,141.5878113027646,144.4585597611534,143.00614051069644,143.00614051069644,143.06422385677388,142.42
2020-03-21T00:00:00Z,142.85921164212598,160,120,-0.11808001898991555,-0.11808001898991555,-0.11808001898991555,-0.11808001898991555,-0.11808001898991555,-0.11808001898991555,0,0,0,141.21533562231025,144.11875834470266,142.85921164212598,142.85921164212598,142.74113162313606,142.2
2020-03-22T00:00:00Z,142.711967470833,160,120,-0.373273878798515,-0.373273878798515,-0.373273878798515,-0.373273878798515,-0.373273878798515,-0.373273878798515,0,0,0,140.86410356557263,143.84571785824943,142.711967470833,142.711967470833,142.33869359203447,142.64
2020-03-23T00:00:00Z,142.56442319357717,160,120,0.12462424005325007,0.12462424005325007,0.12462424005325007,0.12462424005325007,0.12462424005325007,0.12462424005325007,0,0,0,141.3117743108195,144.22628661414652,142.56442319357717,142.56442319357717,142.6890474336304,141.1
2020-03-24T00:00:00Z,142.41659457496928,160,120,0.252829688923522,0.252829688923522,0.252829688923522,0.252829688923522,0.252829688923522,0.252829688923522,0,0,0,141.11718076920403,144.0039463814125,142.41659457496928,142.41659457496928,142.6694242638928,142.42
2020-03-24T00:00:00Z,142.41659457496928,160,120,0.252829688923522,0.252829688923522,0.252829688923522,0.252829688923522,0.252829688923522,0.252829688923522,0,0,0,141.11718076920403,144.0039463814125,142.41659457496928,142.41659457496928,142.6694242638928,142.86
2020-03-24T00:00:00Z,142.41659457496928,160,120,0.252829688923522,0.252829688923522,0.252829688923522,0.252829688923522,0.252829688923522,0.252829688923522,0,0,0,141.11718076920403,144.0039463814125,142.41659457496928,142.41659457496928,142.6694242638928,142.86
2020-03-24T00:00:00Z,142.41659457496928,160,120,0.252829688923522,0.252829688923522,0.252829688923522,0.252829688923522,0.252829688923522,0.252829688923522,0,0,0,141.2049624210758,144.1928087361429,142.41659457496928,142.41659457496928,142.6694242638928,142.42
2020-03-24T00:00:00Z,142.41659457496928,160,120,0.252829688923522,0.252829688923522,0.252829688923522,0.252829688923522,0.252829688923522,0.252829688923522,0,0,0,141.2049624210758,144.1928087361429,142.41659457496928,142.41659457496928,142.6694242638928,142.86
2020-03-24T00:00:00Z,142.41659457496928,160,120,0.252829688923522,0.252829688923522,0.252829688923522,0.252829688923522,0.252829688923522,0.252829688923522,0,0,0,141.2049624210758,144.1928087361429,142.41659457496928,142.41659457496928,142.6694242638928,142.86
2020-03-24T00:00:00Z,142.41659457496928,160,120,0.252829688923522,0.252829688923522,0.252829688923522,0.252829688923522,0.252829688923522,0.252829688923522,0,0,0,141.24009195927016,144.1747902323907,142.41659457496928,142.41659457496928,142.6694242638928,142.42
2020-03-24T00:00:00Z,142.41659457496928,160,120,0.252829688923522,0.252829688923522,0.252829688923522,0.252829688923522,0.252829688923522,0.252829688923522,0,0,0,141.24009195927016,144.1747902323907,142.41659457496928,142.41659457496928,142.6694242638928,142.86
2020-03-24T00:00:00Z,142.41659457496928,160,120,0.252829688923522,0.252829688923522,0.252829688923522,0.252829688923522,0.252829688923522,0.252829688923522,0,0,0,141.24009195927016,144.1747902323907,142.41659457496928,142.41659457496928,142.6694242638928,142.86
2020-03-25T00:00:00Z,142.26849750466627,160,120,0.11736399064691373,0.11736399064691373,0.11736399064691373,0.11736399064691373,0.11736399064691373,0.11736399064691373,0,0,0,140.98023152808864,143.8672968392446,142.26849750466627,142.26849750466627,142.38586149531318,143.08
2020-03-25T00:00:00Z,142.26849750466627,160,120,0.11736399064691373,0.11736399064691373,0.11736399064691373,0.11736399064691373,0.11736399064691373,0.11736399064691373,0,0,0,140.98023152808864,143.8672968392446,142.26849750466627,142.26849750466627,142.38586149531318,143.08
2020-03-25T00:00:00Z,142.26849750466627,160,120,0.11736399064691373,0.11736399064691373,0.11736399064691373,0.11736399064691373,0.11736399064691373,0.11736399064691373,0,0,0,140.96587239666428,143.72165790562684,142.26849750466627,142.26849750466627,142.38586149531318,143.08
2020-03-25T00:00:00Z,142.26849750466627,160,120,0.11736399064691373,0.11736399064691373,0.11736399064691373,0.11736399064691373,0.11736399064691373,0.11736399064691373,0,0,0,140.96587239666428,143.72165790562684,142.26849750466627,142.26849750466627,142.38586149531318,143.08
2020-03-26T00:00:00Z,142.1201511270621,160,120,-0.061547367912280646,-0.061547367912280646,-0.061547367912280646,-0.061547367912280646,-0.061547367912280646,-0.061547367912280646,0,0,0,140.76724278935117,143.5669824670144,142.1201511270621,142.1201511270621,142.0586037591498,142.42
2020-03-27T00:00:00Z,141.97156843513238,160,120,0.05808334607732618,0.05808334607732618,0.05808334607732618,0.05808334607732618,0.05808334607732618,0.05808334607732618,0,0,0,140.56734353925793,143.5050737766749,141.97156843513238,141.97156843513238,142.0296517812097,142.42
2020-03-27T00:00:00Z,141.97156843513238,160,120,0.05808334607732618,0.05808334607732618,0.05808334607732618,0.05808334607732618,0.05808334607732618,0.05808334607732618,0,0,0,140.56734353925793,143.5050737766749,141.97156843513238,141.97156843513238,142.0296517812097,142.42
2020-03-27T00:00:00Z,141.97156843513238,160,120,0.05808334607732618,0.05808334607732618,0.05808334607732618,0.05808334607732618,0.05808334607732618,0.05808334607732618,0,0,0,140.56734353925793,143.5050737766749,141.97156843513238,141.97156843513238,142.0296517812097,142.42
2020-03-27T00:00:00Z,141.97156843513238,160,120,0.05808334607732618,0.05808334607732618,0.05808334607732618,0.05808334607732618,0.05808334607732618,0.05808334607732618,0,0,0,140.51169562416658,143.45845539587881,141.97156843513238,141.97156843513238,142.0296517812097,142.42
2020-03-27T00:00:00Z,141.97156843513238,160,120,0.05808334607732618,0.05808334607732618,0.05808334607732618,0.05808334607732618,0.05808334607732618,0.05808334607732618,0,0,0,140.51169562416658,143.45845539587881,141.97156843513238,141.97156843513238,142.0296517812097,142.42
2020-03-27T00:00:00Z,141.97156843513238,160,120,0.05808334607732618,0.05808334607732618,0.05808334607732618,0.05808334607732618,0.05808334607732618,0.05808334607732618,0,0,0,140.51169562416658,143.45845539587881,141.97156843513238,141.97156843513238,142.0296517812097,142.42
2020-03-27T00:00:00Z,141.97156843513238,160,120,0.05808334607732618,0.05808334607732618,0.05808334607732618,0.05808334607732618,0.05808334607732618,0.05808334607732618,0,0,0,140.5040577193792,143.49337222458792,141.97156843513238,141.97156843513238,142.0296517812097,142.42
2020-03-27T00:00:00Z,141.97156843513238,160,120,0.05808334607732618,0.05808334607732618,0.05808334607732618,0.05808334607732618,0.05808334607732618,0.05808334607732618,0,0,0,140.5040577193792,143.49337222458792,141.97156843513238,141.97156843513238,142.0296517812097,142.42
2020-03-27T00:00:00Z,141.97156843513238,160,120,0.05808334607732618,0.05808334607732618,0.05808334607732618,0.05808334607732618,0.05808334607732618,0.05808334607732618,0,0,0,140.5040577193792,143.49337222458792,141.97156843513238,141.97156843513238,142.0296517812097,142.42
2020-03-28T00:00:00Z,141.82276565228457,160,120,-0.11808001899006813,-0.11808001899006813,-0.11808001899006813,-0.11808001899006813,-0.11808001899006813,-0.11808001899006813,0,0,0,140.13465470236147,143.2852779303857,141.82276565228457,141.82276565228457,141.7046856332945,141.54
2020-03-29T00:00:00Z,141.67376107291233,160,120,-0.3732738787984844,-0.3732738787984844,-0.3732738787984844,-0.3732738787984844,-0.3732738787984844,-0.3732738787984844,0,0,0,139.84772967980624,142.78147689652351,141.67376107291233,141.67376107291233,141.30048719411386,141.1
2020-03-30T00:00:00Z,141.52456914048122,160,120,0.12462424005367727,0.12462424005367727,0.12462424005367727,0.12462424005367727,0.12462424005367727,0.12462424005367727,0,0,0,140.28953816759397,143.17082919361434,141.52456914048122,141.52456914048122,141.6491933805349,141.76
2020-03-31T00:00:00Z,141.37520634984617,160,120,0.25282968892355906,0.25282968892355906,0.25282968892355906,0.25282968892355906,0.25282968892355906,0.25282968892355906,0,0,0,140.22052851756365,143.15471433598478,141.37520634984617,141.37520634984617,141.62803603876972,140.43
2020-04-01T00:00:00Z,141.2256892722241,160,120,0.1173639906466181,0.1173639906466181,0.1173639906466181,0.1173639906466181,0.1173639906466181,0.1173639906466181,0,0,0,139.87032133529695,142.84737612389247,141.2256892722241,141.2256892722241,141.3430532628707,140.88
2020-04-01T00:00:00Z,141.2256892722241,160,120,0.1173639906466181,0.1173639906466181,0.1173639906466181,0.1173639906466181,0.1173639906466181,0.1173639906466181,0,0,0,139.87032133529695,142.84737612389247,141.2256892722241,141.2256892722241,141.3430532628707,141.76
2020-04-01T00:00:00Z,141.2256892722241,160,120,0.1173639906466181,0.1173639906466181,0.1173639906466181,0.1173639906466181,0.1173639906466181,0.1173639906466181,0,0,0,139.90186783890272,142.73531770492414,141.2256892722241,141.2256892722241,141.3430532628707,140.88
