person,house,reps
Amit,diamonds,3
Amit,diamonds,6
Amit,diamonds,10
Amit,spades,15
Amit,clubs,5
Amit,diamonds,7
Amit,clubs,10
Amit,diamonds,2
Amit,diamonds,4
Amit,hearts,10
Amit,clubs,7
Amit,spades,10
Amit,diamonds,8
Amit,spades,4
Amit,spades,9
Amit,clubs,9
Amit,clubs,6
Amit,diamonds,10
Amit,hearts,9
Amit,spades,10
Amit,clubs,2
Amit,spades,2
Amit,clubs,3
Amit,spades,8
Amit,hearts,10
Amit,hearts,2
Amit,spades,6
Amit,spades,7
Nidhi,diamonds,10
Nidhi,diamonds,15
Nidhi,hearts,6
Nidhi,hearts,7
Nidhi,spades,7
Nidhi,clubs,8
Nidhi,spades,3
Nidhi,spades,10
Nidhi,diamonds,10
Nidhi,clubs,10
Nidhi,clubs,10
Nidhi,hearts,15
Nidhi,diamonds,5
Nidhi,diamonds,9
Nidhi,clubs,4
Nidhi,spades,5
Nidhi,hearts,3
Nidhi,clubs,10
Nidhi,clubs,15
Nidhi,hearts,4
Nidhi,hearts,5
Nidhi,hearts,10
Nidhi,spades,10
Nidhi,hearts,10
Nidhi,spades,8
