date,excercise,set,rep,weight
2020-08-15,deadlift & carry,1,1,150
2020-08-15,deadlift & carry,2,1,165
2020-08-15,deadlift & carry,3,1,185
2020-08-15,deadlift & carry,4,1,205
2020-08-15,deadlift,1,5,150
2020-08-15,deadlift,2,5,165
2020-08-15,deadlift,3,5,185
2020-08-15,deadlift,4,5,205
2020-08-15,deadlift,5,5,210
2020-08-15,kettlebell pull over,1,8,40
2020-08-15,kettlebell pull over,2,8,45
2020-08-15,kettlebell pull over,3,8,45
2020-08-15,snatches,1,10,20
2020-08-15,snatches,2,10,25
2020-08-15,snatches,3,10,25
2020-08-15,front squats,1,10,20
2020-08-15,front squats,2,10,25
2020-08-15,front squats,3,10,25

2020-08-13,Turkish getups,1,6,15
2020-08-13,Goblet squats,1,8,20
2020-08-13,Goblet squats,2,8,20
2020-08-13,Goblet squats,3,8,20
2020-08-13,Goblet squats,4,8,20
2020-08-13,Goblet squats,5,8,25
2020-08-13,Goblet squats,6,8,25

2020-08-13,deadlift & carry,3,6,15
2020-08-13,deadlift & carry,4,1,205
2020-08-13,deadlift,1,5,150
2020-08-13,deadlift,2,5,165
2020-08-13,deadlift,3,5,185
2020-08-13,deadlift,4,5,205
2020-08-13,deadlift,5,5,210
2020-08-13,kettlebell pull over,1,8,40
2020-08-13,kettlebell pull over,2,8,45
2020-08-13,kettlebell pull over,3,8,45
2020-08-13,snatches,1,10,20
2020-08-13,snatches,2,10,25
2020-08-13,snatches,3,10,25
2020-08-13,front squats,1,10,20
2020-08-13,front squats,2,10,25
2020-08-13,front squats,3,10,25
